"","nflId","time","x","y","s","dis","dir","event","displayName","jerseyNumber","team","frame.id","gameId","playId","season","week","gameDate","gameTimeEastern","HomeScore","VisitorScore","homeTeamAbbr","visitorTeamAbbr","homeDisplayName","visitorDisplayName","Stadium","Location","StadiumType","Turf","GameLength","GameWeather","Temperature","Humidity","WindSpeed","WindDirection","quarter","GameClock","down","yardsToGo","possessionTeam","yardlineSide","yardlineNumber","offenseFormation","personnel.offense","defendersInTheBox","numberOfPassRushers","personnel.defense","HomeScoreBeforePlay","VisitorScoreBeforePlay","HomeScoreAfterPlay","VisitorScoreAfterPlay","isPenalty","isSTPlay","SpecialTeamsPlayType","KickReturnYardage","PassLength","PassResult","YardsAfterCatch","PlayResult","playDescription","PositionAbbr","dirFac","OffDir","RouteType","routeCombo","hash"
"1",276,2017-09-10 17:05:40,13.2,27.49,0.53,0.04,109.9,NA,"Chris Long",56,"away",61,2017091008,111,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",1,14:12:00,3,11,"WAS","WAS",15,"EMPTY","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",0,0,0,0,FALSE,FALSE,NA,NA,11,"C",1,12,"(14:12) (Shotgun) K.Cousins pass short middle to T.Pryor to WAS 27 for 12 yards (J.Mills, J.Hicks).","DE","N","South",NA,"4 idk","2017091008-111"
"2",276,2017-09-10 20:04:22,36.6,30.69,3.16,0.31,125.94,NA,"Chris Long",56,"away",66,2017091008,3916,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",4,01:24:00,1,10,"WAS","WAS",34,"SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",17,30,17,30,FALSE,FALSE,NA,NA,-2,"C",8,6,"(1:24) (Shotgun) K.Cousins pass short right to J.Reed to WAS 40 for 6 yards (J.Hicks) [D.Barnett].","DE","NE","South",NA,"2 idk,2 In/Dig","2017091008-3916"
"3",276,2017-09-10 19:08:29,52.84,20.99,1.53,0.34,271.94,NA,"Chris Long",56,"away",92,2017091008,2720,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",3,05:05:00,3,10,"WAS","PHI",39,"EMPTY","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",14,19,14,19,FALSE,FALSE,NA,NA,10,"C",1,11,"(5:05) (Shotgun) K.Cousins pass short middle to B.Quick to PHI 28 for 11 yards (J.Watkins).","DE","S","North",NA,"4 idk","2017091008-2720"
"4",276,2017-09-10 17:57:33,80.27,26.23,2.8,0.26,116.63,NA,"Chris Long",56,"away",43,2017091008,1196,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",2,10:20:00,3,10,"WAS","WAS",36,"EMPTY","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",0,13,0,13,FALSE,FALSE,NA,NA,9,"C",0,9,"(10:20) (Shotgun) K.Cousins pass short left to J.Reed to WAS 45 for 9 yards (J.Hicks, N.Bradham).","DE","N","North",NA,"2 idk,2 In/Dig","2017091008-1196"
"5",276,2017-09-10 20:04:47,49.23,21.95,4.71,0.36,114.2,"first_contact","Chris Long",56,"away",60,2017091008,3946,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",4,01:00:00,2,4,"WAS","WAS",40,"SHOTGUN","1 RB, 1 TE, 3 WR",4,4,"4 DL, 2 LB, 5 DB",17,30,17,30,FALSE,FALSE,NA,NA,-3,"C",13,10,"(1:00) (No Huddle, Shotgun) K.Cousins pass short middle to C.Thompson to 50 for 10 yards (N.Bradham).","DE","N","South",NA,"2 idk,2 In/Dig","2017091008-3946"
"6",276,2017-09-10 18:20:52,53.42,27.92,3.57,0.42,122.29,NA,"Chris Long",56,"away",28,2017091008,1681,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",2,02:00:00,2,5,"WAS","PHI",38,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB",7,13,7,13,FALSE,FALSE,NA,NA,4,"C",1,5,"(2:00) (Shotgun) K.Cousins pass short middle to C.Thompson to PHI 33 for 5 yards (J.Hicks).","DE","NE","North",NA,"1 Flat,2 idk,1 In/Dig","2017091008-1681"
"7",276,2017-09-10 17:05:40,13.2,27.49,0.53,0.04,109.9,NA,"Chris Long",56,"away",61,2017091008,111,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",1,14:12:00,3,11,"WAS","WAS",15,"EMPTY","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",0,0,0,0,FALSE,FALSE,NA,NA,11,"C",1,12,"(14:12) (Shotgun) K.Cousins pass short middle to T.Pryor to WAS 27 for 12 yards (J.Mills, J.Hicks).","DE","N","South",NA,"4 idk","2017091008-111"
"8",276,2017-09-10 20:04:22,36.6,30.69,3.16,0.31,125.94,NA,"Chris Long",56,"away",66,2017091008,3916,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",4,01:24:00,1,10,"WAS","WAS",34,"SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",17,30,17,30,FALSE,FALSE,NA,NA,-2,"C",8,6,"(1:24) (Shotgun) K.Cousins pass short right to J.Reed to WAS 40 for 6 yards (J.Hicks) [D.Barnett].","DE","NE","South",NA,"2 idk,2 In/Dig","2017091008-3916"
"9",276,2017-09-10 19:08:29,52.84,20.99,1.53,0.34,271.94,NA,"Chris Long",56,"away",92,2017091008,2720,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",3,05:05:00,3,10,"WAS","PHI",39,"EMPTY","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",14,19,14,19,FALSE,FALSE,NA,NA,10,"C",1,11,"(5:05) (Shotgun) K.Cousins pass short middle to B.Quick to PHI 28 for 11 yards (J.Watkins).","DE","S","North",NA,"4 idk","2017091008-2720"
"10",276,2017-09-10 17:57:33,80.27,26.23,2.8,0.26,116.63,NA,"Chris Long",56,"away",43,2017091008,1196,2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",2,10:20:00,3,10,"WAS","WAS",36,"EMPTY","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",0,13,0,13,FALSE,FALSE,NA,NA,9,"C",0,9,"(10:20) (Shotgun) K.Cousins pass short left to J.Reed to WAS 45 for 9 yards (J.Hicks, N.Bradham).","DE","N","North",NA,"2 idk,2 In/Dig","2017091008-1196"
